CREATE 1
CREATE 2
CREATE 3
CREATE 4
CREATE 5
CREATE 6
CREATE 7
CREATE 8
CREATE 9
CREATE 10
CREATE 11
CREATE 12
CREATE 13
CREATE 14
CREATE 15
CREATE 16
CREATE 17
CREATE 18
CREATE 19
CREATE 20
CREATE 21
CREATE 22
CREATE 23
CREATE 24
CREATE 25
CREATE 26
CREATE 27
CREATE 28
CREATE 29
CREATE 30
CREATE 31
CREATE 32
CREATE 33
CREATE 34
CREATE 35
CREATE 36
CREATE 37
CREATE 38
CREATE 39
CREATE 40
CREATE 41
CREATE 42
CREATE 43
CREATE 44
CREATE 45
CREATE 46
CREATE 47
CREATE 48
CREATE 49
CREATE 50
WRITE 15 2
READ 15 2
WRITE 7 1
WRITE 14 2
WRITE 14 2
WRITE 15 1
WRITE 7 2
READ 7 1
WRITE 36 2
READ 36 2
READ 36 2
WRITE 29 1
READ 29 1
READ 36 2
WRITE 24 2
WRITE 41 1
WRITE 44 2
READ 29 1
READ 36 2
READ 36 2
WRITE 31 2
READ 41 1
WRITE 4 2
READ 7 1
READ 4 2
WRITE 21 1
READ 4 2
READ 7 2
READ 41 1
WRITE 33 2
READ 15 2
WRITE 34 1
READ 41 1
READ 31 2
READ 14 2
READ 44 2
WRITE 12 1
READ 36 2
READ 24 2
READ 29 1
READ 33 2
READ 7 2
WRITE 13 1
WRITE 29 1
CLOSE 4
READ 24 2
READ 31 2
READ 14 2
READ 41 1
READ 36 2
READ 15 1
WRITE 18 2
READ 15 2
READ 41 1
READ 29 1
READ 31 2
WRITE 2 1
READ 44 2
WRITE 48 2
WRITE 36 1
WRITE 46 2
READ 48 2
WRITE 23 2
READ 7 2
READ 48 2
WRITE 25 1
READ 44 2
READ 33 2
READ 34 1
READ 46 2
WRITE 30 1
WRITE 42 2
WRITE 48 2
WRITE 17 2
READ 2 1
READ 42 2
WRITE 8 2
WRITE 18 1
READ 31 2
WRITE 49 1
READ 48 2
READ 7 2
WRITE 38 1
WRITE 14 1
READ 29 1
