CREATE 1
CREATE 2
CREATE 3
CREATE 4
CREATE 5
CREATE 6
CREATE 7
CREATE 8
CREATE 9
CREATE 10
WRITE 9 1
READ 9 1
READ 9 1
READ 9 1
WRITE 1 3
READ 1 3
WRITE 2 3
READ 2 3
WRITE 10 1
WRITE 7 4
READ 7 4
READ 1 3
READ 10 1
READ 9 1
WRITE 9 5
WRITE 4 3
READ 9 1
READ 10 1
WRITE 10 4
WRITE 10 4
READ 4 3
READ 4 3
WRITE 7 4
WRITE 1 5
WRITE 4 3
READ 2 3
WRITE 5 3
READ 4 3
WRITE 3 2
READ 7 4
READ 9 1
READ 3 2
READ 5 3
READ 1 5
WRITE 4 4
WRITE 7 4
READ 4 4
WRITE 9 4
READ 2 3
WRITE 10 1
READ 3 2
READ 1 3
READ 10 4
WRITE 8 4
WRITE 2 1
WRITE 1 5
READ 10 4
READ 7 4
WRITE 2 2
READ 4 4
READ 9 5
READ 3 2
CLOSE 7
READ 3 2
READ 3 2
WRITE 2 1
WRITE 10 2
WRITE 10 2
READ 9 1
WRITE 5 5
READ 9 5
READ 5 3
WRITE 5 5
READ 8 4
WRITE 1 1
WRITE 3 1
READ 4 4
READ 2 3
READ 4 3
WRITE 1 5
READ 9 4
WRITE 8 1
READ 5 3
WRITE 2 4
READ 10 2
WRITE 10 5
READ 8 4
READ 1 5
WRITE 3 1
WRITE 10 5
READ 1 3
WRITE 9 1
WRITE 2 1
READ 10 2
READ 4 4
WRITE 2 2
READ 9 4
READ 2 2
READ 1 1
WRITE 4 4
READ 1 5
READ 10 2
READ 4 4
WRITE 4 4
WRITE 5 1
WRITE 6 2
READ 9 5
WRITE 8 2
WRITE 8 2
READ 1 1
WRITE 6 2
READ 2 1
READ 3 1
READ 6 2
READ 10 5
READ 9 1
READ 9 5
READ 9 4
WRITE 1 3
WRITE 4 3
WRITE 3 2
READ 9 5
WRITE 10 1
READ 5 5
WRITE 10 4
READ 9 4
WRITE 2 4
READ 1 1
WRITE 4 3
